"Long","Lat","S_No_","USIN","State","District","Block_Mand","Village","CCE_Date","Target_Cro","QC_Status","Wet_Weight","Dry_Weight","Yield_kg_h","allahabad_10_oct_sm_30","allahabad_14_aug_sm_30","Allahabad_max_GS_30","Allahabad_max_VS_30","Allahabad_min_GS_30","Allahabad_min_VS_30","Allahabad_rf_GS_30","Allahabad_rf_VS_30","CCCI_Allahabad_30","CWSI_Allahabad_30","EVI_allahabad_20200930_30m","NDVI_allahabad_20200930_30m"
82.095988,25.19243,428,57127,"UTTAR PRADESH","Allahabad","Meja","Amora","2020/11/21","Paddy - IR","Accepted",19.87,17.883,3576.6,0.33966463804245,0.350450754165649,33.0955123901367,34.0715026855469,19.4400482177734,25.8026828765869,0.0441719256341457,306.761566162109,0.502379477024078,0.550391018390656,0.521228969097137,0.563591778278351
82.097606,25.168153,429,57126,"UTTAR PRADESH","Allahabad","Meja","Sirkhiri","2020/11/21","Paddy - IR","Accepted",12.15,10.935,2187,0.342265844345093,0.307279467582703,33.099178314209,34.0562515258789,19.4415435791016,25.7972202301025,0.0488812923431396,315.884765625,0.468273520469666,0.352728664875031,0.626037657260895,0.631898283958435
82.093474,25.156193,430,57124,"UTTAR PRADESH","Allahabad","Meja","Tigja","2020/11/21","Paddy - IR","Accepted",16.56,14.904,2980.8,0.32930389046669,0.29877707362175,33.100399017334,34.0511703491211,19.4420433044434,25.7953987121582,0.0504510812461376,318.925811767578,0.514421939849854,0.437922328710556,0.595085978507996,0.614761471748352
82.092694,25.152916,431,57122,"UTTAR PRADESH","Allahabad","Meja","Kardaha","2020/11/21","Paddy - IR","Accepted",20.37,18.333,3666.6,0.328399926424026,0.31777012348175,33.100399017334,34.0511703491211,19.4420433044434,25.7953987121582,0.0504510812461376,318.925811767578,0.497657924890518,0.44099149107933,0.636612355709076,0.63683009147644
82.046376,25.163779,432,57120,"UTTAR PRADESH","Allahabad","Meja","Bhatauti","2020/11/21","Paddy - IR","Accepted",15.44,13.896,2779.2,0.353928059339523,0.214064359664917,33.1804580688477,34.0247917175293,19.4418468475342,25.7916774749756,0.0826082676649094,315.49755859375,0.479410171508789,0.653885066509247,0.470708906650543,0.5061274766922
81.72813,25.265407,436,57109,"UTTAR PRADESH","Allahabad","Bara","Sarsendi","2020/11/20","Paddy - IR","Accepted",17.06,15.354,3070.8,0.307646244764328,0.299816578626633,33.6676635742188,33.8293571472168,19.4131603240967,25.7435035705566,0.131696000695229,331.474029541016,0.487213164567947,0.737856209278107,0.551202118396759,0.626306891441345
81.722341,25.274074,437,57108,"UTTAR PRADESH","Allahabad","Bara","Gundlapur","2020/11/20","Paddy - IR","Accepted",13.12,11.808,2361.6,0.320809811353683,0.269331842660904,33.6586532592773,33.8338050842285,19.406867980957,25.739709854126,0.124360002577305,332.555969238281,0.502253353595734,0.743682563304901,0.632641434669495,0.657311677932739
81.72211,25.278027,438,57107,"UTTAR PRADESH","Allahabad","Bara","Chhiri","2020/11/20","Paddy - IR","Accepted",12.98,11.682,2336.4,0.32316318154335,0.231295183300972,33.6586532592773,33.8338050842285,19.406867980957,25.739709854126,0.124360002577305,332.555969238281,0.487464874982834,0.739217579364777,0.441899001598358,0.499515652656555
81.721833,25.281475,439,57106,"UTTAR PRADESH","Allahabad","Bara","Chhiri","2020/11/20","Paddy - IR","Accepted",16.19,14.571,2914.2,0.336754024028778,0.28727126121521,33.6496429443359,33.8382568359375,19.4005756378174,25.7359180450439,0.117023997008801,333.637908935547,0.495306313037872,0.728048801422119,0.585800170898438,0.625681400299072
81.720734,25.288161,440,57105,"UTTAR PRADESH","Allahabad","Bara","Parsara","2020/11/20","Paddy - IR","Accepted",15.49,13.941,2788.2,0.32155168056488,0.33050137758255,33.6496429443359,33.8382568359375,19.4005756378174,25.7359180450439,0.117023997008801,333.637908935547,0.469247579574585,0.730965793132782,0.526055335998535,0.593431830406189
81.725229,25.286563,441,57104,"UTTAR PRADESH","Allahabad","Bara","Parsara","2020/11/20","Paddy - IR","Accepted",18.27,16.443,3288.6,0.334941923618317,0.319626033306122,33.6496429443359,33.8382568359375,19.4005756378174,25.7359180450439,0.117023997008801,333.637908935547,0.504545390605927,0.723801910877228,0.701817989349365,0.691293597221375
81.733801,25.281385,442,57103,"UTTAR PRADESH","Allahabad","Bara","Sarsendi","2020/11/20","Paddy - IR","Accepted",12.73,11.457,2291.4,0.279602527618408,0.327414304018021,33.6467018127441,33.8404884338379,19.4062805175781,25.7402744293213,0.117830403149128,332.489196777344,0.476563900709152,0.730264842510223,0.523723185062408,0.613451302051544
81.738889,25.295692,443,57102,"UTTAR PRADESH","Allahabad","Bara","Tatarganj","2020/11/20","Paddy - IR","Accepted",10.74,9.666,1933.2,0.34508228302002,0.345561116933823,33.6375465393066,33.8449287414551,19.3997821807861,25.7363262176514,0.110604800283909,333.511383056641,0.496201813220978,0.79125189781189,0.770481169223785,0.671680808067322
81.744717,25.289433,444,57101,"UTTAR PRADESH","Allahabad","Bara","Chhiria","2020/11/20","Paddy - IR","Accepted",18.82,16.938,3387.6,0.264743566513062,0.334430992603302,33.6437606811523,33.8427238464355,19.4119873046875,25.7446308135986,0.118636801838875,331.340484619141,0.470352351665497,0.733882188796997,0.655052840709686,0.659136414527893
81.744614,25.283011,445,57100,"UTTAR PRADESH","Allahabad","Bara","Chhiria","2020/11/20","Paddy - IR","Accepted",15.18,13.662,2732.4,0.345588833093643,0.343468219041824,33.6437606811523,33.8427238464355,19.4119873046875,25.7446308135986,0.118636801838875,331.340484619141,0.470346987247467,0.736201882362366,0.667881190776825,0.683787643909454
81.744227,25.274493,446,57099,"UTTAR PRADESH","Allahabad","Bara","Pandar","2020/11/20","Paddy - IR","Accepted",12.86,11.574,2314.8,0.313325226306915,0.330637782812119,33.6530609130859,33.8382949829102,19.4186935424805,25.7487354278564,0.125752002000809,330.378082275391,0.475324630737305,0.722226500511169,0.579900681972504,0.635200023651123
81.751015,25.269145,447,57098,"UTTAR PRADESH","Allahabad","Bara","Pandar","2020/11/20","Paddy - IR","Accepted",16.24,14.616,2923.2,0.322987526655197,0.304187893867493,33.6527786254883,33.8389167785645,19.4286460876465,25.7560939788818,0.1334528028965,328.386474609375,0.512340486049652,0.72647887468338,0.588493764400482,0.655037522315979
82.255414,25.336563,448,57097,"UTTAR PRADESH","Allahabad","Handia","Baraut","2020/11/18","Paddy - IR","Accepted",10.8,9.72,1944,0.195642590522766,0.322032898664474,32.8743095397949,34.2596473693848,19.4970760345459,25.9017295837402,0.104822024703026,281.471984863281,0.542280793190002,0.757939517498016,0.307395786046982,0.443240702152252
82.307902,25.328562,449,57096,"UTTAR PRADESH","Allahabad","Handia","Bhiti","2020/11/18","Paddy - IR","Accepted",14.33,12.897,2579.4,0.338243365287781,0.33763375878334,32.7945594787598,34.2946090698242,19.5001049041748,25.9102878570557,0.147261708974838,292.229278564453,0.518234550952911,0.690935730934143,0.688653767108917,0.698861956596375
81.817015,25.264087,450,57095,"UTTAR PRADESH","Allahabad","Karchhana","Pawar","2020/11/18","Paddy - IR","Accepted",16.04,14.436,2887.2,-0.0149246193468571,0.331128060817719,33.5536880493164,33.8860015869141,19.4308891296387,25.7671203613281,0.136966407299042,322.211364746094,0.523201406002045,0.720363140106201,0.642728507518768,0.659353375434875
